,case,date,code,court,Unintelligible,NOTAccountable,text
103,Gebr. Van Weelde Scheepvaartkantor B.V. v Compania Naviera Sea Orient S.A. the “Agrabele”,21 May 1987,[1987] 2 Lloyd's Rep. 223,Queen's Bench Division (Commercial Court),1,,"Even in the annals of maritime commerce, UNACCOUNTABLE acts of quixotic generosity are doubtless to be found, but nothing in the charterers' experience of Mr."
104,Mrs B James v Waynes Foods Ltd,30 April 1987,1987 WL 1507172,Industrial Tribunal,,,"These were all worthy objects, and it did not occur to anyone then that a further and quite UNACCOUNTABLE piece of law reform was lurking in the punctuation, which Parliament does not normally debate and which could so easily be the fault of the printer."
105,Martigny Investments S. A. v Elmbranch Ltd & Ors,12 June 1985,1985 WL 1167679,Queen's Bench Division,1,,"and are, in my judgment, quite inconsistent with an error, “UNACCOUNTABLE” or otherwise."
106,Regina v Khan (Raja),20 November 1984,[1985] R.T.R. 365,Court of Appeal,1,,"Unhappily by an UNACCOUNTABLE lapse, the judge omitted in his direction to the jury the word ‘obvious’  in that suggested definition set out there by Lord Diplock."
107,Regina Respondent v Sullivan Appellant,23 June 1983,[1983] 3 W.L.R. 123,House of Lords,1,,"When a man is guilty of a great offence, it must be very plain and clear, before a man is allowed such an exemption; therefore it is not every kind of frantic humour or something UNACCOUNTABLE in a *163  man's actions, that points him out to be such a madman as is to be exempted from punishment: it must be a man that is totally deprived of his understanding and memory, and doth not know what he is doing, no more than an infant, than a brute, or a wild beast, such a one is never the object of punishment; ..."""
108,Attorney-General of New Zealand Appellant v Ortiz and Others Respondents,21 April 1983,[1983] 2 W.L.R. 809,House of Lords,1,,"If it were, the qualification ""knowingly""in section 12 (2) would be UNACCOUNTABLE."
109,Regina v Sullivan,9 December 1982,[1983] 2 W.L.R. 392,Court of Appeal,1,,"When a man is guilty of a great offence, it must be very plain and clear, before a man is allowed such an exemption; therefore it is not every kind of frantic humour or something UNACCOUNTABLE in a man's actions, that points him out to be a man that is totally deprived of his understanding and memory, and doth not known what he is doing, no more than an infant, than a brute, or a wild beast, such a one is never the object of punishment; …” Arnold was found guilty and sentenced to death."
110,R. v Mohammed Bashir,22 February 1982,(1983) 77 Cr. App. R. 59,Court of Appeal,1,,"For some UNACCOUNTABLE reason, if her story was wholly true, when the complainant alighted from the car she gave what she stated to be a light peck on the cheek to the appellant."
111,Hyde v Pearce,18 November 1981,[1982] 1 W.L.R. 560,Court of Appeal,1,,"Eventually, on September 5, 1958, there was written the last letter in a chain which, for some UNACCOUNTABLE reason, was then broken."
112,Westzucker GmbH v Bunge GmbH,15 May 1981,[1981] WL 695714,Court of Appeal,1,,"He submitted that the learned and vastly experienced Commercial Judge had dealt in detail with a number of interesting points but, for some UNACCOUNTABLE reason, had failed to notice or deal with a finding of fact by the arbitrators which was conclusive in favour of Buyers and rendered all other points academic."
113,Roy Evans v National Coal Board,26 June 1980,1980 WL 612725,On Appeal from Sheffield County Court,1,,"As he was handing the last of the D pieces to Randerson the anchor station, for some UNACCOUNTABLE reason, toppled over, knocked the plaintiff down and trapped his legs upon the platform of the lorry."
114,Mr Raymond Charles Hills v Mayor and Burgesses of the Wandsworth London Borough Council,6 February 1980,[1980] WL 647275,Industrial Tribunal,1,,"As to “losing two hours for giving out union membership cards,” this is silly, since he had 15 UNACCOUNTABLE hours per week, and the giving out of the union cards, we were told, would have taken about 2 hours, once a year."
115,Watt v Lord Advocate,25 October 1978,1979 S.C. 120,"Court of Session (Inner House, First Division)",1,,"Immediately the firm retaliated by refusing to meet the Trade Union side while the strictures were still being imposed and, for some UNACCOUNTABLE reason, they laid off the craftsmen members who had refused to lift their Overtime Ban and work to rule."
116,Norwest Holst Ltd. v Secretary of State for Trade and Others,1 February 1978,[1977 N. No. 1112],Court of Appeal,,1,They are a self-perpetuating oligarchy: and are virtually UNACCOUNTABLE.
117,Le Brocq v Le Brocq,11 June 1964,[1964] 1 W.L.R. 1085,Court of Appeal,,1,The husband said she was quite a different person and he did not know whether it was shock at her mother's death or whether she was approaching the menopause and therefore was apt to be a little UNACCOUNTABLE.
118,Dunne and Another v North Western Gas Board and Another.,7 November 1963,[1964] 2 Q.B. 806,Court of Appeal,1,,The failure to appreciate *822  this fact is as fundamental as the UNACCOUNTABLE omission of Lord Sumner to appreciate that in Midwood's case 43 there was a finding of negligence.
119,Glinski Appellant; v Mciver Respondent.,22 February 1962,[1962] 2 W.L.R. 832,House of Lords,1,,It was made a point of attack on the bona fides of the respondent that there was an UNACCOUNTABLE delay in the second arrest of the appellant to which I shall come in a moment.
120,Ross Smith Appellant; v Ross Smith Respondent.,18 January 1962,[1962] 2 W.L.R. 388,House of Lords,1,,"153 I can find nothing in them to indicate that any importance was attached to the locus celebrationis; it was not even mentioned, and, if it had been relevant, failure to mention it seems UNACCOUNTABLE."
121,Status:  Positive or Neutral Judicial Treatment ,2 November 1953,[1951 P. No. 1348.],Court of Appeal,1,,"The evidence of members of his family has satisfied me that he was not normal, and that there have been in the past recurrent periods during which he behaved in an UNACCOUNTABLE way after consuming large quantities of alcohol."
122,Latimer Appellant; v A. E. C. LD. Respondent.,25 June 1953,[1953] 3 W.L.R. 259,House of Lords,1,,"Millar,17 where the grips which ought to have held a lift in place at one of the floors for some UNACCOUNTABLE and unascertainable reason failed to act with the result that one of the workmen fell down the shaft had was injured."
123,Lucas v West Ham Corporation,9 December 1952,(1952-53) 3 P. & C.R. 318,Lands Tribunal,1,,I have inspected all the comparable examples and am left with the impression that in many cases there are UNACCOUNTABLE discrepancies in the prices realised for different plots.
124,Millar v Galashiels Gas Co.,6 February 1948,1948 S.C. 191,2nd Division,1,,"Unfortunately the lift, for some UNACCOUNTABLE reason, had moved upwards and the bogie and workman fell to the foot of the shaft, with the result that the pursuer's husband received serious injuries from which he died."
125,Elliot v Young's Bus Service Ltd,19 July 1945,1945 S.C. 445,2nd Division,1,,"In this case, and in most cases of this kind, the plea of UNACCOUNTABLE failure truly means that there must have been a defect but that it was so latent that it is not even yet discoverable."
126,Muir v Glasgow Corporation,7 November 1941,1942 S.C. 126,1st Division,1,,"His view, indeed, seems to be that the accident could only be accounted for by negligence on the part of the men carrying the urn, or by some quite UNACCOUNTABLE mischance which no one could foresee."
127,In Re Turner.,27 February 1931,[1930. T. 1677.],Chancery Division,1,,"The admission of the claim of the heir at law of the object who died in the lifetime of the testator, unless he was also heir at law of the testator (in which case the reference to the other character was absurd), is quite UNACCOUNTABLE."""
128,"Simpson v London, Midland, and Scottish Railway Company.",29 November 1929,1930 S.L.T. 52,First Division,1,,This wound rather seems to me one of the UNACCOUNTABLE things that occur as the result of a violent accident.
129,Mullen v AG Barr & Co Ltd,20 March 1929,1929 S.C. 461,"Sheriff of Lanarkshire, Sheriff of Renfrew and Bute",1,,"The just conclusion seems to me to be this—that, for some UNACCOUNTABLE and unexplained reason, the mice, which had crept into the empty bottles, maintained their position therein during the process of filling despite all proper precautions for ensuring purity of manufacture."
130,Henderson v Mair,29 October 1927,1928 S.C. 1,Sheriff of Lanarkshire,1,,"One knows well that strange and UNACCOUNTABLE accidents happen to cars, without any fault being suggested on the part of the owners."
131,Donald & Sons v Esslemont & Macintosh,18 November 1922,1923 S.C. 122,"Sheriff of Aberdeen, Kincardine, and Banff",1,,I do not remember ever seeing a case in which anything was expressly said about light and air from the street for the building frontages—surely an UNACCOUNTABLE omission but for the legal quality of a public street as an open space.
132,"H. C. Smith, Limited Appellants; v Great Western Railway Company Respondents.",14 February 1922,[1922] 1 A.C. 178 ,House of Lords,1,,"Whether it was lost by accident, stolen by servants of the railway company or by strangers, damaged or destroyed, or mislaid by some UNACCOUNTABLE accident, the appellant does not know, and it is quite impossible that he can ascertain."
134,Ellerman Lines v Dundee Harbour Trustees,27 November 1920,1921 S.C. 169,1st Division,1,,"But it does not excuse the UNACCOUNTABLE failure of the look-out to pick up the unlighted buoy which was actually afloat on the morning of the 15th at something more than a cable's length from the charted site of the wreck, and something less than a cable's length from the actual site as at that date."
135,Greig v Merchant Company of Edinburgh,6 November 1920,1921 S.C. 76,2d Division,1,,"at 229), but his disappearance must be associated with some particular incident which might involve a more than ordinary risk to life, and *78  which, coupled with an UNACCOUNTABLE silence on his part since the date of the incident, raises a presumption that he died on or about that date."
136,Greig v The Trustees of the Widows' Fund of the Company of Merchants of the City of Edinburgh,8 November 1918,1918 2 S.L.T. 256,Outer House,1,,"229), but his disappearance must be associated with some particular incident which might involve a more than ordinary risk to life, and which, coupled with an UNACCOUNTABLE silence on his part since the date of the incident, raises a presumption that he died on or about that date."
137,"Daimler Company, Limited Appellants; v Continental Tyre and Rubber Company (Great Britain), Limited Respondents.",30 June 1916,[1916] 2 A.C. 307,House of Lords,1,,without the light which this UNACCOUNTABLE reticence throws on the secretary's character and veracity.
138,"Joseph Travers & Sons, Limited v Cooper.",31 July 1914,[1913 J. 854.],Court of Appeal,1,,"But if other facts as to the seaworthiness of the ship were proved they must be weighed against the UNACCOUNTABLE loss of the ship so soon after sailing, and unless the balance of the evidence warranted the conclusion that the ship was unseaworthy when she sailed, such unseaworthiness could not be treated as established and the defence founded on it failed."
139,Park v Park,19 December 1913,1914 1 S.L.T. 88,Outer House,1,,"On the marriage night, however, her conduct was quite UNACCOUNTABLE."
140,"Asiatic Petroleum Company, Limited v Lennard's Carrying Company, Limited",30 July 1913,[1914] 1 K.B. 419,In the King's Bench Division,1,,"From motives not accounted for, but not UNACCOUNTABLE, they let the pitcher go once too often to the well."
141,Harris and Another v Earl of Chesterfield and Another,17 July 1911,[1911] A.C. 623,House of Lords,1,,"It is precisely because you cannot prove what happened six or seven hundred years ago *629  that you infer something now incapable of actual proof, in order to explain a long course of user otherwise UNACCOUNTABLE."
142,Alexander Stephen & Sons Limited v Allan Line Steamship Company Limited,17 May 1911,1911 2 S.L.T. 27,First Division,1,,"If there was a sheer, the only remaining explanation of it was UNACCOUNTABLE accident."
143,Klein v Lindsay,20 February 1911,1911 S.C. (H.L.) 9,House of Lords,1,,"If this ship was seaworthy, what occurred to her almost immediately after she left port is quite UNACCOUNTABLE, and it is the shipowner's business to account for it, if he can, in some way which shall displace the natural inference."
144,Boyd & Forrest v Glasgow and So.-Western Railway Co.,10 November 1910,1911 S.C. 33,2d Division,1,,"And their employment and his subsequent mode of dealing with their returns at his own hand, even to the discarding of information derived from occasional check bores, brings home to Mr Melville UNACCOUNTABLE recklessness in dealing with a matter so vital to the contract."
145,Beucker v Aberdeen Steam Trawling and Fishing Company Limited,17 March 1910,1910 1 S.L.T. 235,Second Division,1,,"Further, while I am of opinion that the master of the “Irmgard” is not open to the charge of negligence or bad seamanship, I should, even if it could be held that he failed, be prepared to exonerate him from responsibility for negligence or fault, and to hold that in the very exceptionally difficult circumstances in which he was placed, caused by the wholly UNACCOUNTABLE bad conduct of those on board the “Strathfillan,” nothing more could be attributed to him than an excusable error of judgment."
147,"J. & P. Coats, Ltd. v Brown.",17 March 1909,(1909) 6 Adam 19,The High Court and Circuit Courts of Justiciary,,1,To use the familiar words of Baron Hume: ‘The Lord Advocate is not absolute and UNACCOUNTABLE on these occasions.’
148,Tozeland v Guardians of the Poor of the West Ham Union,16 February 1907,[1907] 1 K.B. 920,In the Court of Appeal,1,,Upon this question there is a paucity of authority which is almost UNACCOUNTABLE if this liability exists.”
149,In Re Boden,20 November 1906,[1906 B. 561.],Court of Appeal,1,,The objection to an interpretation on the ground that it would make a word or phrase surplusage has weight only when the presence of such word or phrase would be unusual or UNACCOUNTABLE if it were not specially inserted for the purpose of altering the meaning of the sentence.
150,"Robertson v S. Henderson & Sons, Limited",16 June 1905,(1905) 7 F. 776,1st Division,1,,"While the pursuer stated that he had all along done his best to give satisfaction, that he had never been found fault with in any way, and that his dismissal appeared to him quite UNACCOUNTABLE, and had taken him entirely by surprise."
151,Williamson v Macpherson & Co.,30 June 1904,(1904) 6 F. 863,2d Division,1,,"The cause of the failure of the tubes undoubtedly was rapid electrolytic dezincification upon tubes, which did not exhibit the effects of dezincification in the ordinary way but in a novel manner, which more quickly brought the deterioration to the point of absolute breakdown, rendering the *876  tubes no longer fit for condensing purposes, That this may be UNACCOUNTABLE may be true, and certainly the skilled witnesses seem to hold it to be mysterious, and from their point of view inexplicable."
152,H.M. Advocate v Wood.,17 March 1903,(1903) 4 Adam 150,The High Court and Circuit Courts of Justiciary,1,,"Therefore, I think you would do well to consider whether the intervention of Mr Anderson and his offer to make up the prescription may not account for the otherwise UNACCOUNTABLE and very culpable mistake of substituting strychnia for exalgine, and thus causing the death of the patient."
153,Robertson (Lamont's Exr.) v Harvey and Others,12 June 1901,(1901) 9 S.L.T. 55,Outer House,1,,How that came about is not explained at all. It is left unaccounted for and UNACCOUNTABLE. But the pursuer admits that the contracts produced do not differ from those stated in the prospectus except in the matter of date.
154,Farquhar v Murray,4 June 1901,(1901) 9 S.L.T. 45,Second Division,1,,"The pursuer further averred that “on 25th April 1900, the pursuer, being surprised at and inconvenienced by the defender's protracted absence and UNACCOUNTABLE silence, and having been suffering considerable pain, requested his wife to write and ask the defender to come immediately and see his finger."
155,Ajum Goolam Hossen & Co v Union Marine Insurance Co Ltd,2 March 1901,[1901] A.C. 362,Privy Council,1,,"But if, as in this case, other facts material to the inquiry as to the seaworthiness of the ship are proved, those facts must also be considered; and they must be weighed against the UNACCOUNTABLE loss of the ship so soon after sailing, and unless the balance of the evidence warrants the conclusion that the ship was unseaworthy when she sailed, such unseaworthiness cannot be properly treated as established, and the defence founded upon it must fail."
156,"Mungall v Bowhill Coal Co., Fife, Limited",21 June 1900,(1900) 2 F. 1073,2d Division,1,,But to speak of minerals which belonged to a person in property as minerals let to him would be extremely unnatural and UNACCOUNTABLE.
157,Simms and Others Appellants; v The Registrar of Probates Respondent.,6 April 1900,[1900] A.C. 323,Privy Council,1,,"If there really was that intention, it seems UNACCOUNTABLE that the draftsman of the Act should not have said so in unmistakable terms, which are very easy to find, but instead of doing so should simply have reproduced the old word “evade” from the Act of 1876."
158,Taylor v Hill,9 January 1900,[1900] 7 S.L.T. 318,Court of Session (Outer House),1,,"It may seem at first sight a little hard that the defender should be held liable in damages for this blunder, serious and UNACCOUNTABLE as it was."
159,Baroness Roissard de Bellet v James Auldjo Jamieson and Others (Scott’s Trustees),21 May 1897,(1897) 24 R. 861,"Court of Session, 1st Division",1,,"But if it be true, as she avers, that large mortgages affecting her properties had been cleared off, and if it be true that the creditors agreed to delay proceedings for six months, as she also avers, how can it be true that she was unable to raise £400 on security of these properties? I suppose that in considering relevancy I am bound to make an effort to assume the truth of the pursuer’s averment; but still it is so nearly incredible, and so completely UNACCOUNTABLE, as to throw on the pursuer the obligation of explaining distinctly, specifically, and in detail, how it was that she was unable to raise £400, and so to prevent the sale of her properties."
160,De Bellet v Scott's Trustees,20 February 1897,(1897) 4 S.L.T. 322,Outer House,1,,"If it be true, as pursuer avers, that large mortgages affecting her properties had been cleared off, and if it be true that the creditors agreed to delay proceedings for six months, as she also avers, how can it be true that she was unable to raise £400 on security of these properties? I suppose that in considering relevancy I am bound to make an effort to assume the truth of the pursuer's averments; but still it is so nearly incredible and so completely UNACCOUNTABLE as to throw on the pursuer the obligation of explaining distinctly, specifically and in detail, how it was that she was unable to raise £400, and so to prevent the sale of her properties."
161,Scholfield v The Earl of Londesborough.,19 December 1894,[1895] 1 Q.B. 536,Court of Appeal,1,,"The UNACCOUNTABLE early termination of the second line, and space left after the word “of,” and the late commencement of the third line with the word “five,” a space being left before it permitting of the insertion of a word which would make the third line start even with the second, I cannot help thinking ought to have been observed, and to have at once induced the defendant to pause before he placed his signature as acceptor to that document."
163,Barclay v Pearson.,10 February 1893,[1892 B. 5898.],Chancery Division,1,,"Now, we know that tides and currents are subject to UNACCOUNTABLE variations."
165,Johnstone and Others v Abercrombie,23 December 1892,(1892) 3 White 432,High Court of Justiciary,1,,"Their natural spurs are, so far as we have up to now been able to conjecture, UNACCOUNTABLE except as fighting weapons."
166,"Marpessa, The",11 August 1891,[1891] P. 403,Probate Divorce and Admiralty Division,1,,"I cannot think that that is the law; indeed, if it be, it is UNACCOUNTABLE that shipowners and cargo-owners have, since the institution of the Admiralty Court, neglected so obvious a method of profiting by collision."
167,"John Lauder v John Blair Brown (Procurator-Fiscal of the Burgh of Hillhead, Glasgow)",10 December 1889,(1889) 17 R. (J.) 5,Court of Justiciary,1,,"The plea is a very technical one, and shews a very UNACCOUNTABLE desire on the part of the appellant to avoid compliance with the direction of the Commissioners."
168,Lowther v Heaver,1 March 1889,[1887 L. 3621.],Chancery Division,1,,"Justice Kekewich 's statement to the contrary, for which he gives no reason, is UNACCOUNTABLE."
170,Her Majesty's Advocate.— v James Parker.—,5 November 1888,(1888) 16 R. (J.) 5,High Court (Court of Justiciary),1,,"Lest it should be supposed that I acquiesce in that statement of what is contained in the Act, I must here say parenthetically that his Lordship has fallen into an UNACCOUNTABLE error in matter of fact."
171,The Grand Junction and the Midland Railways of Canada v The Corporation of Peterborough,3 December 1887,(1888) L.R. 13 App. Cas. 136,Privy Council,1,,"But the necessity of it is, and must always have been, so obvious, and its absence is so UNACCOUNTABLE, as to point to the existence of some substantial difficulty, though its nature is not apparent."
172,Noble v Ahier,1 July 1886,(1886) 11 P.D. 158,Chancery Court of York,1,,"For it is singular, and somewhat UNACCOUNTABLE, that they are likely in the present case to meet with little support from the counsel of either of the parties."
173,William Don Gillies v John M’Lean,16 October 1885,(1885) 13 R. 12,"Court of Session, 2d Division, Sheriff of Lanarkshire. I.",1,,All this is very UNACCOUNTABLE and very unsatisfactory.
174,Thomas Scott and Others v James Brown Howard and Another,22 June 1880,(1880) 7 R. 997,"Court of Session, 2d Division",1,,"I think the point (and the pursuers had no other) is too obviously untenable to justify the consumption of time on it, and therefore say at once that I regard the language as merely defensive on the seller’s part, and intended to provide that the buyer shall take the property subject to all burdens and privileges which may exist with respect to it, and find it quite unnecessary, in order to satisfy its meaning, that I should impute to the testamentary trustee who used it such remarkable and UNACCOUNTABLE conduct as the pursuers’ view involves, viz.,"
175,John Park and Robert Park v The Alliance Heritable Security Company (Limited),24 January 1880,(1880) 7 R. 546,"Court of Session, 2d Division",1,,"It appears from the proof that the reason why the earlier titles were not produced and offered by delivery was simply this, not that there was any difficulty in procuring them, but that the conveyancing clerk of the defenders’ agents had, in some UNACCOUNTABLE way, taken up the notion that the titles were hypothecated for a business account in the hands of the pursuers’ law-agent in Glasgow."
176,William Mackenzie v Thomas S. Blakeney,18 July 1879,(1879) 6 R. 1329,"Court of Session, 2d Division Sheriff of Forfarshire. I.",1,,"He was giving an order which he knew perfectly well could not be fulfilled, and therefore he is not entitled to say that if the pursuer had looked into the certificates he would have seen the difficulty, seeing that the pursuer was induced to do what he did by the defender’s UNACCOUNTABLE concealment of the only material fact."
177,"Sir Archibald Douglas Stewart, Bart. v Franc Nichols Steuart",8 November 1878,(1878) 6 R. 145,"Court of Session, 1st Division",1,,"That is a very UNACCOUNTABLE delay; and the only explanation of it that is given is to be found in the 12th article of the condescendence—“So long as the defender claimed the said water-rate or assessment as payable to himself as proprietor of the foresaid portion of the lands of Inchewan, and until it had been decided, as it has now been, that this claim was unfounded, the pursuer was prevented from demanding payment from the defender of the sums sued for in the present action in respect of the water supplied to the parts of the said lands of Inchewan, in the personal occupation of the defender or in the occupation of his tenants.”"
178,The Office of the Judge Promoted by Combe v Edwards,2 November 1878,(1878) 3 P.D. 103,Arches Court of Canterbury,1,,"Now, in dealing with this proposition, the Lord Chief Justice has in the very outset fallen into a signal and UNACCOUNTABLE error of fact."
179,"Peter Milne Duncan v The Dundee, Perth, and London Shipping Company",8 March 1878,(1878) 5 R. 742,"Court of Session, 1st Division",1,,"The “Anglia” is a vessel engaged in the coasting trade between Dundee and London, and she was proceeding on a voyage from Dundee to London with a cargo and passengers on 19th November 1876, when she made an UNACCOUNTABLE deviation from her course, and struck upon a rock called the Tours or Parkdyke rock, somewhere to the south-west of the Fern Islands."
180,Andrew Aitken and Others (Robert Baird’s Trustees) v Robert Baird and Company,10 July 1877,(1877) 4 R. 1005,"Court of Session, 2d Division",1,,"The reason and object of what appears, at first sight, a strange and UNACCOUNTABLE power or privilege conferred on the tenants is thus explained."
181,Macdonald v Foster,9 June 1877,[1875 M. 29.],Chancery Division,1,,"The convenience of having the sale carried out in the ordinary way in Judge's Chambers is very great, and quite outweighs any advantage to be derived from its taking place in the country, especially in this particular case, in which there has already been such UNACCOUNTABLE delay."
183,In Committee for Privileges v The Montacute and Monthermer Peerages,7 July 1874,(1874-75) L.R. 7 H.L. 305,House of Lords,1,,"After considerable and UNACCOUNTABLE delay a remit was made only to recover receipts and rentals, but not to examine the tenants."
185,"Margaret Wilson or Steuart, now Robertson and Husband v Sir Archibald Douglas Stewart",27 February 1874,(1874) 1 R. 532,"Court of Session, 1st Division Whole Court",1,,"It is not clear, from the Appellant's statements, at what subsequent time he asserts the gift to have been made; but he certainly means to allege it was before the first interest was received by him; if this be so, his offer to pay over that interest to Madame Voyer is UNACCOUNTABLE, and entirely opposed to his pretension that an absolute gift had before that time been made and accepted."
186,Jolliffe and Others v The Wallasey Local Board,13 November 1873,(1873-74) L.R. 9 C.P. 62,Court of Common Pleas,1,,"The mooring-anchor by some means UNACCOUNTABLE for and unknown to the defendants had been lifted from the bed of the river, and the arm of the anchor, instead of resting in a horizontal position upon the bed of the river, had assumed an upright position, and thus had penetrated the bottom of the steam tug-boat."
187,Giacometti v Prodgers,10 July 1872,[1871 G. 51.],Court of Chancery,1,,"The Defendant, on the other hand, denied having been in any way unkind to the Plaintiff, and alleged that it was entirely through her own strange and UNACCOUNTABLE conduct that they had been unable to live together."
189,Henry Thurburn and Another v Robert Steward and Another,26 January 1871,[1869-71] L.R. 3 P.C. 478,Judicial Committee,1,,"It seems that Paterson , after being not much longer than ten years in *487  business, had in some UNACCOUNTABLE way realized a fortune so large as £120,000, yielding him, independently of his continuing business, an income of £7,000 a year."
190,The Office of the Judge promoted by Sheppard v Bennett,20 July 1870,(1869-72) L.R. 3 A. & E. 167,Ecclesiastical,1,,"We contrarywise confess with the fathers, that this manner of presence is UNACCOUNTABLE, and past finding out, not to be searched and pried into by reason, but believed by faith."
191,Stewart v Caledonian Railway Co.,4 February 1870,(1870) 8 M. 486,1st Division. and Ld. Mure.,1,,"But by some singular and UNACCOUNTABLE perverseness, the jury gave only one shilling of damages."
192,Alexander v Officers of State,3 April 1868,(1868) 6 M. (H.L.) 54,House of Lords,1,,"It is idle to stop to inquire how it came into her possession, because the counsel for the appellant have abandoned the hope of establishing the genuineness of the Le Normand documents; but these, as well as those in the De Porquet packet, being produced to the Court at the same time as newly discovered evidence, *65  it is impossible that the undoubted fabrication of one set of documents, both directed to the establishment of similar facts, should not throw considerable suspicion on the others, which came to band at a different time, and under different circumstances, but in a strange and UNACCOUNTABLE manner."
193,Smith and Others v Tebbitt and Others,6 August 1867,(1865-69) L.R. 1 P. & D. 398,Courts of Probate and Divorce,1,,"Things said and done by one sort of person would hardly surprise us, the same words and deeds emanating from another of an opposite character we should esteem so UNACCOUNTABLE as to argue disease."
194,Harriet Caton v R. R. Caton and T. B. Caton,20 May 1867,(1867) L.R. 2 H.L. 127,House of Lords,1,,"Now, it appears to me that the whole conduct of the parties is at variance with any such understanding, and it is UNACCOUNTABLE, if this had really been the case, that it should never have been insisted upon down to the time of the hearing of the present appeal."
196,Daniel Herrick v Garret Sixby ,4 February 1867,"(1867) IV Moore, P.C., N.S. 349",Privy Council (UK),1,,"The provision in the deed, that the hemlock tree should be the south-easterly boundary (that is, should mark the south-eastern corner) of the portion of land intended to be conveyed, is fully and reasonably accounted for if the Appellant's construction be adopted; but quite UNACCOUNTABLE according to the Respondent's view."
197,Gore v Walpole,1 January 1866,[1866] 176 E.R. 751,Assizes,1,,"The examination was then taken into a variety of extraneous topics, in which the plaintiff, however, persisted, apparently not perceiving their entire irrelevancy, and at last he put in a long rambling letter of his to Sir George Grey, and containing most UNACCOUNTABLE statements, the nature of which will be seen in the subsequent evidence."
198,Kamala Naicken v Pitchacootty Chetty ,4 December 1865,"(1865) X Moore, Indian Appeals 386",Privy Council (India),1,,"But if this were the case it is most UNACCOUNTABLE, that the Defendant should have left this complete answer to the Plaintiff's case to the last stage of his pleadings, and even then have introduced it almost incidently as part of a narrative of the transactions between them."
199,Goldsmid v Tunbridge Wells Improvement Commissioners,24 November 1865,(1865-66) L.R. 1 Eq. 161,Equity,1,,"I believe that the water which percolates through the land from the manure placed on it produces no injurious effect at all, and that if the pollution of the stream were to be attributed to that cause the gradual and constant increase of it would be wholly UNACCOUNTABLE."
200,Hugh Godfray and John Godfray v William Francis Godfray ,27 July 1865,"(1865) III Moore, P.C., N.S. 316",Privy Council (UK),1,,"The Respondent was not made a party to it, which was perfectly natural and correct, if they were such owners, but would be most strange and UNACCOUNTABLE if the deed formed part of a Mandat , and comprised a scheme for the management or disposition of his own property."
201,Knight v Knight,20 June 1865,(1865) 4 Swabey & Tristram 103,Knight v Knight,1,,"For some time, by his UNACCOUNTABLE conduct, he tortured his wife by incessant suspicion of his fidelity."
202,"Nicolas Dionissis v The Queen, Francis Hart Dyke, Her Majesty's Procurator, and Henry Schank Hillyar, the Commander of Her Majesty's ship “Cadmus,” ",15 March 1865,"(1865) III Moore, P.C., N.S. 181",Privy Council (UK),1,,"Thomas, to watch her, and it appears, by what has become known, that the Laura took on board at that place a large quantity of provisions, and the materials for erecting a slave deck; and it is certainly very UNACCOUNTABLE that with such a lading, she should have been proceeding to San Bartholomew's."
204,Yelverton v Longworth,28 July 1864,(1864) 2 M. (H.L.) 49,No. 7,1,,"But if it be held that this charter is in its nature and intent a mere supplementary deed, and, although in the form of a charter of novodamus , was truly intended merely to operate a modification in the terms of the original contract between superior and vassal, much of the difficulty pressed on the part of the pursuer disappears, and it becomes legitimate to look to the deed of 1810 for the purpose of ascertaining whether or not what would otherwise appear to be UNACCOUNTABLE omissions from the charter of 1817 exist in the prior deed."
205,Timothy Tyrrell v The Bank of London and Sir J. V. Shelley and Others,27 February 1862,(1862) X House of Lords Cases (Clark's) 26,House of Lords,1,,"Again, it strikes me as most UNACCOUNTABLE, that if Tyrrell did not believe this offer to be a pure fiction, he should not have demanded an explanation from Read of all the particulars respecting it."
206,Charles Henry Humphrey and John Christian v William Nowland ,6 February 1862,(1862) XV Moore 343,Privy Council (UK),1,,"And, if it was of the value which it has assumed in the action, and the Plaintiff had not cattle enough to stock the land (which appears to have been the case), it is still more UNACCOUNTABLE that he should have retained the precarious use of it, constantly liable to disturbance as it was from his inability thoroughly to use it, and should not have availed himself of the profit which he might have acquired by the transfer of his possession."
207,JAMES COSNAHAN v ELEANOR GRICE,12 July 1862,(1862) XV Moore 215,Privy Council (UK),1,,"Now, it certainly is most UNACCOUNTABLE that the deceased, who was thus contemplating the disposition of her property by Will, should, at the very moment when she must actually have given instructions for it, have been making a loose and informal gift of almost the whole of her personal estate."
208,"Sir Robert Stanford, Knt. v George David Brunette, Falkner Hope, and Johan Georg Steytler ",26 June 1860,(1860) XIV Moore 35,Privy Council (UK),1,,"I have been, since my return, promised by Captain Hope to be furnished with a copy of it, but for some UNACCOUNTABLE reason I have not been furnished with it."
209,Merry and Cunninghame v Brown,15 July 1859,(1859) 21 D. 1337,2d Division.,1,,"If parties clearly express themselves to such an effect, in a formal and well considered and deliberately prepared contract, they will be bound, however unreasonable and absurd, and unjust the bargain may be; but I am not acquainted with any principle of construction, which should lead the Court to wrest the loose shorthand form of expression we have before us here to a meaning so strange and UNACCOUNTABLE."
